eta,F,dF,d2F,G,dG
0,0,0,0.332057345610548,1,-0.576688692588312
0.1,0.00166028672805274,0.0332055048483865,0.332048157294511,0.942333125467382,-0.576608911819312
0.2,0.00664100908953616,0.0664077939545961,0.331983846645691,0.88469416733394,-0.576050752639824
0.3,0.0149414780856333,0.0995986012468145,0.331809358110262,0.827154790828927,-0.574538516066247
0.4,0.0265599031107501,0.132764164317682,0.331469853996229,0.769833861183068,-0.571605235706047
0.5,0.0414928437844338,0.165885257906762,0.33091096488256,0.712896106102684,-0.566802588083881
0.6,0.0597346665475847,0.198937257331776,0.330079137737004,0.656549606044428,-0.559714351176371
0.7,0.0812770095011843,0.231890241475069,0.328922078131997,0.601041784845769,-0.549972812710981
0.8,0.106108259904913,0.264709144465493,0.327389280761639,0.5466536492968,-0.537277198654603
0.9,0.134213049633835,0.297353964487587,0.325432639822247,0.493692136971444,-0.521412836412371
1,0.165571774687446,0.329780037158388,0.323007127809933,0.442480577218753,-0.502269435299785
1.1,0.200160145526804,0.361938379606029,0.320071528028101,0.393347445339119,-0.479856618499714
1.2,0.237948775549768,0.393776109745599,0.31658920273627,0.346613783065046,-0.454314740183667
1.3,0.278902815367985,0.425236943275365,0.312528875591126,0.302579851715413,-0.425919127534018
1.4,0.322981640689724,0.456261768628664,0.307865404040374,0.261511754895638,-0.395076240756183
1.5,0.370138601510046,0.486789297553916,0.302580514857515,0.223628889860619,-0.362310854305301
1.6,0.420320839939778,0.516756786220802,0.296663474285466,0.18909313620638,-0.328244197091055
1.7,0.47346918335022,0.546100818851269,0.29011166351482,0.158000648534643,-0.293563969435515
1.8,0.529518118564157,0.574758142957905,0.282931030657571,0.130376977351335,-0.258988158859668
1.9,0.588395851590227,0.602666542464974,0.275136392142824,0.106176004581308,-0.225225456722585
2,0.650024455894524,0.629765732427401,0.266751559646125,0.0852828668259711,-0.192935681560953
2.1,0.714320110462528,0.655998256893057,0.257809273276062,0.0675206850651314,-0.162693817785765
2.2,0.781193426972002,0.68131036981323,0.248350927694597,0.0526605680128982,-0.134961011500947
2.3,0.850549863332809,0.705652877920591,0.238426084955418,0.0404340550080594,-0.110065137220642
2.4,0.922290218723448,0.728981924265577,0.22809177582416,0.0305469553215227,-0.0881924522693569
2.5,0.996311203146071,0.751259691700105,0.217411599824987,0.0226934533186572,-0.0693905529820156
2.6,1.07250607251618,0.772455007050613,0.206454642802213,0.0165693935254993,-0.0535815435049972
2.7,1.15076531848519,0.79254382901324,0.195294238915649,0.0118838259100348,-0.0405832300467033
2.8,1.23097740064441,0.811509605866908,0.184006611220739,0.00836815033162895,-0.0301354257040403
2.9,1.31302950754992,0.829343492822172,0.172669430866358,0.00578250786933522,-0.0219281843292075
3,1.39680833219731,0.846044423050116,0.161360339089093,0.00391937869193081,-0.0156289777961712
3.1,1.4822008472051,0.861619030977312,0.150155478307535,0.00260461851626359,-0.0109064073995642
3.2,1.56909506505665,0.876081431078876,0.13912807856397,0.0016963671797753,-0.00744885564941066
3.3,1.65738076930181,0.889452859931523,0.128347143304671,0.00108237772340743,-0.00497737428216184
3.4,1.74695020360937,0.901761193487474,0.117876274158808,0.000676343090637387,-0.00325291554204222
3.5,1.83769870694626,0.913040355202433,0.107772668229424,0.000413753898757865,-0.00207863564700148
3.6,1.929525284878,0.923329633632997,0.0980863138221146,0.000247726900173017,-0.00129837668502212
3.7,2.02233310896214,0.932672930288989,0.0888594019658131,0.000145124584867996,-0.00079256619004794
3.8,2.11602993835692,0.941117959811077,0.0801259620317054,8.31644470629112e-05,-0.000472705269964335
3.9,2.21052846000045,0.948715424921707,0.0719117207452716,4.66086711412254e-05,-0.000275413071104669
4,2.30574654594282,0.955518188096303,0.0642341753990154,2.55412744093788e-05,-0.000156728606786052
4.1,2.401607428549,0.961580460596051,0.0571028645333643,1.36832952772771e-05,-8.71009825657345e-05
4.2,2.49803979626006,0.966957027505714,0.0505198130966423,7.16551450595491e-06,-4.72673318332237e-05
4.3,2.59497781434084,0.971702524870712,0.0444801243533479,3.66741022682794e-06,-2.50452344259404e-05
4.4,2.69236107650729,0.975870782085455,0.0389726877030531,1.834359424309e-06,-1.29565136801632e-05
4.5,2.79013449448453,0.979514239514663,0.0339809701107038,8.96582041103609e-07,-6.54385257760253e-06
4.6,2.88824813338279,0.982683448091889,0.0294838589449689,4.28207725068915e-07,-3.22666948025273e-06
4.7,2.98665700129414,0.985426654482655,0.0254565255048011,1.99832634608825e-07,-1.5532968399577e-06
4.8,3.08532080172146,0.987789472451084,0.0218712811549411,9.11223319783223e-08,-7.30040383082994e-07
4.9,3.18420365738074,0.989814638431181,0.018698401519979,4.06012448533389e-08,-3.35008144347308e-07
5,3.28327381360148,0.991541847051679,0.0159068983192027,1.76778878764267e-08,-1.50111456611532e-07
5.1,3.38250332903042,0.993007660542764,0.013465222880724,7.52193078048617e-09,-6.5685093179852e-08
5.2,3.48186776066409,0.994245484583346,0.0113418898944984,3.12808858631395e-09,-2.80717653751018e-08
5.3,3.58134584944208,0.995285602223695,0.00950601432520025,1.27155211364825e-09,-1.17189656066696e-08
5.4,3.68091921176764,0.996155257014794,0.00792775842531864,5.05314489900611e-10,-4.77973704048465e-09
5.5,3.7805720414262,0.996878776351262,0.00657868933070467,1.96355035292514e-10,-1.90504299902465e-09
5.6,3.88029082548095,0.997477726236672,0.0054320506964648,7.46224803263971e-11,-7.42156513702163e-10
5.7,3.98006407686658,0.997971089149275,0.0044629541959498,2.77431716364815e-11,-2.82679151252411e-10
5.8,4.07988208560281,0.998375457360862,0.00364849845401914,1.00933481176126e-11,-1.05300814199315e-10
5.9,4.17973668982418,0.998705234881317,0.00296782414444871,3.59483440098847e-12,-3.83757463350456e-11
6,4.27962106718519,0.99897284210961,0.00240211460188887,1.25412675281387e-12,-1.36877744072929e-11
6.1,4.37952954665465,0.999188918218202,0.00193455145015199,4.29037751765025e-13,-4.78014093457867e-12
6.2,4.47945744026344,0.999362517238972,0.00155023451008795,1.44294811665473e-13,-1.63523279092188e-12
6.3,4.579400894012,0.99950129472009,0.00123607470515147,4.8045031064172e-14,-5.48236419028523e-13
6.4,4.67935675687321,0.999611682658102,0.00098066791296049,1.61622459451545e-14,-1.80237110207246e-13
6.5,4.77932246663511,0.999699051159397,0.000774156793285697,5.80706627281044e-15,-5.81391240654573e-14
6.6,4.8792959512066,0.999767855938795,0.000608086625260947,2.50747500273103e-15,-1.84129278266101e-14
6.7,4.97927554394892,0.999821771315276,0.000475260167250951,1.47532674511524e-15,-5.72944695814629e-15
6.8,5.07925991158447,0.999863808816168,0.000369595558792652,1.15814747991271e-15,-1.75294202346159e-15
6.9,5.17924799326488,0.999896421855768,0.000285990351264798,1.06232365229428e-15,-5.27766533293707e-16
7,5.27923894944025,0.999921597219933,0.000220193907818645,1.03383983190181e-15,-1.5650048190832e-16
7.1,5.37923211925485,0.99994093427419,0.000168689669490868,1.02550197650371e-15,-4.57504486137727e-17
7.2,5.47922698529266,0.999955712929963,0.000128588150994092,1.02309626659732e-15,-1.31981731557343e-17
7.3,5.57922314460291,0.99996695146287,9.75310073923174e-05,1.02241142095153e-15,-3.76123855855459e-18
7.4,5.6792202850462,0.999975455289513,7.36060974383705e-05,1.02221886495056e-15,-1.06006677839222e-18
7.5,5.77921816611161,0.999981857785163,5.52731526964323e-05,1.02216533247617e-15,-2.95824561817838e-19
7.6,5.87921660346075,0.99998665417352,4.12994331045005e-05,1.0221505998269e-15,-8.1841482928242e-20
7.7,5.97921545655485,0.999990229449628,3.07045973700971e-05,1.02214658116996e-15,-2.24758479938709e-20
7.8,6.07921461881274,0.999992881214928,2.27139280902121e-05,1.02214549330247e-15,-6.13552278839738e-21
7.9,6.17921400983125,0.999994838215202,1.67190145476276e-05,1.02214520065243e-15,-1.6672190804653e-21
8,6.27921356927417,0.999996275282343,1.22449993435165e-05,1.02214512230873e-15,-4.51620518473471e-22
8.1,6.3792132521014,0.99999732529291,8.92352809602569e-06,1.02214510140765e-15,-1.22137353829411e-22
8.2,6.47921302486722,0.999998088672934,6.47059541813042e-06,1.02214509584235e-15,-3.30284846621473e-23
8.3,6.57921286286545,0.999998640901034,4.66854775477763e-06,1.0221450943611e-15,-8.94500546870727e-24
8.4,6.67921274794105,0.999999038391655,3.35157828276639e-06,1.02214509396641e-15,-2.43009532313503e-24
8.5,6.77921266682255,0.999999323077603,2.39412615191451e-06,1.02214509386095e-15,-6.63323214698711e-25
8.6,6.87921260985889,0.999999525956106,1.70166826050632e-06,1.02214509383266e-15,-1.82222174461916e-25
8.7,6.97921257006828,0.999999669815089,1.20346393707922e-06,1.02214509382502e-15,-5.04626090595724e-26
8.8,7.07921254242616,0.99999977131578,8.46879641496252e-07,1.02214509382294e-15,-1.41107166333343e-26
8.9,7.17921252333529,0.999999842573543,5.92981106035561e-07,1.02214509382237e-15,-3.99075144620537e-27
9,7.27921251023362,0.999999892350306,4.13133770917176e-07,1.02214509382221e-15,-1.14339311038957e-27
9.1,7.37921250130581,0.999999926948428,2.86398903098628e-07,1.02214509382217e-15,-3.32407918584732e-28
9.2,7.47921249527229,0.999999950876623,1.97552693591783e-07,1.02214509382215e-15,-9.82130608628561e-29
9.3,7.57921249123576,0.999999967343037,1.35589375296982e-07,1.02214509382215e-15,-2.9536646354498e-29
9.4,7.67921248857026,0.999999978618124,9.25975757625466e-08,1.02214509382215e-15,-9.05526734656392e-30
9.5,7.77921248684133,0.999999986300097,6.29223577724825e-08,1.02214509382215e-15,-2.83415379404238e-30
9.6,7.87921248574902,0.999999991507939,4.2544354728425e-08,1.02214509382215e-15,-9.06857725893536e-31
9.7,7.97921248508729,0.999999995020913,2.86227035830271e-08,1.02214509382215e-15,-2.97054362242443e-31
9.8,8.07921248471531,0.999999997378809,1.91606972051226e-08,1.02214509382215e-15,-9.97414108005647e-32
9.9,8.17921248453736,0.999999998953543,1.27627451688216e-08,1.02214509382215e-15,-3.43710457477087e-32
10,8.2792124844887,1,8.45880910511119e-09,1.02214509382215e-15,-1.21701154157505e-32
